Product,UID,QTY,Category,Price,Total,Cost," ""Credit Card""",Date,Kiosk
Chinese Chicken Salad Wrap,238908,1,null,$5.75 ,$5.75 ,$0.00 ,Y,9/9/2015 19:42,CMU-1
Butterscotch Pudding,402301,1,null,$3.99 ,$3.99 ,$0.00 ,Y,9/9/2015 19:07,CMU-1
16 Spiced Rubbed BBQ Brisket Wrap,373943,1,null,$5.99 ,$5.99 ,$0.00 ,Y,9/9/2015 18:29,CMU-1
Teriyaki Tofu Wrap,357108,1,null,$5.49 ,$5.49 ,$0.00 ,Y,9/9/2015 17:31,CMU-1
Teriyaki Tofu Wrap,374025,1,null,$5.49 ,$5.49 ,$0.00 ,Y,9/9/2015 17:20,CMU-1
Breakfast Berry & Yogurt Parfait w/ Granola,56712,1,null,$4.49 ,$4.49 ,$0.00 ,Y,9/9/2015 16:26,CMU-1
Grilled Mixed Vegetable Anti-Pasta Salad,401939,1,null,$5.99 ,$5.99 ,$0.00 ,Y,9/9/2015 16:23,CMU-1
Grilled Mixed Vegetable Anti-Pasta Salad,401911,1,null,$5.99 ,$5.99 ,$0.00 ,Y,9/9/2015 16:14,CMU-1
Classic BLT,239394,1,null,$6.50 ,$6.50 ,$0.00 ,Y,9/9/2015 15:59,CMU-1
Butterscotch Pudding,239394,1,null,$3.99 ,$3.99 ,$0.00 ,Y,9/9/2015 15:59,CMU-1
Chef Chopped Salad,366588,1,null,$6.49 ,$6.49 ,$0.00 ,Y,9/9/2015 15:32,CMU-1
Grilled Salmon Salad,361773,1,null,$6.49 ,$6.49 ,$0.00 ,Y,9/9/2015 15:11,CMU-1
Ham & Swiss Cheese Sandwich,106264,1,null,$6.50 ,$6.50 ,$0.00 ,Y,9/9/2015 14:13,CMU-1
"Grilled Quinoa Portobello, Roasted Red Bell Pepper & Baby Arugula Sandwich",401163,1,null,$5.75 ,$5.75 ,$0.00 ,Y,9/9/2015 13:44,CMU-1
Classic BLT,106133,1,null,$6.50 ,$6.50 ,$0.00 ,Y,9/9/2015 13:36,CMU-1
"Grilled Quinoa Portobello, Roasted Red Bell Pepper & Baby Arugula Sandwich",401005,1,null,$5.75 ,$5.75 ,$0.00 ,Y,9/9/2015 13:23,CMU-1
Cosmo Crispy Chicken Sandwich,400996,1,null,$6.50 ,$6.50 ,$0.00 ,Y,9/9/2015 13:21,CMU-1
Cosmo Bacon Spinach Salad,357108,1,null,$6.49 ,$6.49 ,$0.00 ,Y,9/9/2015 13:10,CMU-1
Classic BLT,54687,1,null,$6.50 ,$6.50 ,$0.00 ,Y,9/9/2015 13:09,CMU-1
Cosmo Bacon Spinach Salad,309610,1,null,$6.49 ,$6.49 ,$0.00 ,Y,9/9/2015 12:52,CMU-1
"Grilled Quinoa Portobello, Roasted Red Bell Pepper & Baby Arugula Sandwich",56003,1,null,$5.75 ,$5.75 ,$0.00 ,Y,9/9/2015 12:37,CMU-1
Chef Chopped Salad,59984,1,null,$6.49 ,$6.49 ,$0.00 ,Y,9/9/2015 12:18,CMU-1
Today's Vegetarian Lunch Entrée,380022,1,null,$7.49 ,$7.49 ,$0.00 ,Y,9/9/2015 12:01,CMU-1
Teriyaki Tofu Wrap,399547,1,null,$5.49 ,$5.49 ,$0.00 ,Y,9/9/2015 11:59,CMU-1
Today's Lunch Entree 1,380396,1,null,$7.99 ,$7.99 ,$0.00 ,Y,9/9/2015 11:46,CMU-1
Today's Lunch Entree 1,54956,1,null,$7.99 ,$7.99 ,$0.00 ,Y,9/9/2015 11:42,CMU-1
Mediterranean Grilled Chicken Wrap,374025,1,null,$5.75 ,$5.75 ,$0.00 ,Y,9/9/2015 11:35,CMU-1
Chinese Chicken Salad Wrap,380396,1,null,$5.75 ,$5.75 ,$0.00 ,Y,9/9/2015 11:29,CMU-1
Cosmo Crispy Chicken Sandwich,382557,1,null,$6.50 ,$6.50 ,$0.00 ,Y,9/9/2015 11:21,CMU-1
Ham & Swiss Cheese Sandwich,399086,1,null,$6.50 ,$6.50 ,$0.00 ,Y,9/9/2015 11:17,CMU-1
Mediterranean Grilled Chicken Wrap,399077,1,null,$5.75 ,$5.75 ,$0.00 ,Y,9/9/2015 11:16,CMU-1
Cajun Roasted Pork Wrap,380418,1,null,$5.99 ,$5.99 ,$0.00 ,Y,9/9/2015 11:15,CMU-1
Cosmo Crispy Chicken Sandwich,98750,1,null,$6.50 ,$6.50 ,$0.00 ,Y,9/9/2015 10:50,CMU-1
Cottage Cheese with Mixed Berries,61620,1,null,$2.99 ,$2.99 ,$0.00 ,Y,9/3/2015 14:43,CMU-1
"Roasted Pear, Pecan & Cranberry Salad",55310,1,null,$5.99 ,$5.99 ,$0.00 ,Y,9/3/2015 12:40,CMU-1
New Orleans Muffaletta,385335,1,null,$7.25 ,$7.25 ,$0.00 ,Y,9/3/2015 11:55,CMU-1
Cottage Cheese with Mixed Berries,385333,1,null,$2.99 ,$2.99 ,$0.00 ,Y,9/3/2015 11:55,CMU-1
Italian Anti-Pasta Salad,372435,1,null,$6.49 ,$6.49 ,$0.00 ,Y,9/3/2015 11:03,CMU-1
Cottage Cheese with Mixed Berries,59984,1,null,$2.99 ,$2.99 ,$0.00 ,Y,9/3/2015 10:59,CMU-1
Breakfast Berry & Yogurt Parfait w/ Granola,56712,1,null,$4.49 ,$4.49 ,$0.00 ,Y,9/3/2015 10:19,CMU-1
Italian Anti-Pasta Salad,54895,1,null,$6.49 ,$6.49 ,$0.00 ,Y,9/3/2015 10:18,CMU-1
Breakfast Berry & Yogurt Parfait w/ Granola,61620,1,null,$4.49 ,$4.49 ,$0.00 ,Y,9/3/2015 7:24,CMU-1
Grilled Teriyaki Chicken Chopped Salad,383563,1,null,$6.49 ,$6.49 ,$0.00 ,Y,9/2/2015 19:39,CMU-1
Classic BLT,56999,1,null,$6.50 ,$6.50 ,$0.00 ,Y,9/2/2015 19:28,CMU-1
New Orleans Muffaletta,383372,1,null,$7.25 ,$7.25 ,$0.00 ,Y,9/2/2015 17:13,CMU-1
Cosmo Entree 1,357108,1,entree,$7.99 ,$7.99 ,$0.00 ,Y,9/2/2015 17:11,CMU-1
Roast Beef Wrap,374025,1,null,$5.99 ,$5.99 ,$0.00 ,Y,9/2/2015 15:24,CMU-1
Today's Vegetarian Lunch Entrée,374178,1,null,$7.49 ,$7.49 ,$0.00 ,Y,9/2/2015 15:00,CMU-1
"Roasted Pear, Pecan & Cranberry Salad",61620,1,null,$5.99 ,$5.99 ,$0.00 ,Y,9/2/2015 14:55,CMU-1
Breakfast Berry & Yogurt Parfait w/ Granola,61620,1,null,$4.49 ,$4.49 ,$0.00 ,Y,9/2/2015 14:55,CMU-1
Grilled Mediterranean Veggie Hummus Sandwich,374178,1,null,$5.75 ,$5.75 ,$0.00 ,Y,9/2/2015 14:21,CMU-1
Day After Thanksgiving Turkey Sandwich,382557,1,null,$6.50 ,$6.50 ,$0.00 ,Y,9/2/2015 14:20,CMU-1
Classic BLT,106133,1,null,$6.50 ,$6.50 ,$0.00 ,Y,9/2/2015 14:04,CMU-1
Cosmo Entree 1,70901,1,entree,$7.99 ,$7.99 ,$0.00 ,Y,9/2/2015 13:26,CMU-1
Alpino Wrap,380022,1,null,$5.99 ,$5.99 ,$0.00 ,Y,9/2/2015 13:25,CMU-1
Tuscan Grilled Chicken Sandwich,366588,1,null,$6.50 ,$6.50 ,$0.00 ,Y,9/2/2015 13:24,CMU-1
Grilled Summer Vegetable Wrap,374178,1,null,$5.49 ,$5.49 ,$0.00 ,Y,9/2/2015 13:04,CMU-1
Grilled Mediterranean Veggie Hummus Sandwich,381422,1,null,$5.75 ,$5.75 ,$0.00 ,Y,9/2/2015 12:43,CMU-1
Roast Beef Wrap,108748,1,null,$5.99 ,$5.99 ,$0.00 ,Y,9/2/2015 12:42,CMU-1
Grilled Tandoori Chicken Wrap,309610,1,null,$5.75 ,$5.75 ,$0.00 ,Y,9/2/2015 12:40,CMU-1
Teriyaki Chicken Wrap,106352,1,null,$5.75 ,$5.75 ,$0.00 ,Y,9/2/2015 12:39,CMU-1
Salad Niciose,101644,1,null,$6.49 ,$6.49 ,$0.00 ,Y,9/2/2015 12:28,CMU-1
Grilled Teriyaki Chicken Chopped Salad,54519,1,null,$6.49 ,$6.49 ,$0.00 ,Y,9/2/2015 12:27,CMU-1
Teriyaki Chicken Wrap,131468,1,null,$5.75 ,$5.75 ,$0.00 ,Y,9/2/2015 11:31,CMU-1
Grilled Summer Vegetable Wrap,380444,1,null,$5.49 ,$5.49 ,$0.00 ,Y,9/2/2015 11:27,CMU-1
Alpino Wrap,380424,1,null,$5.99 ,$5.99 ,$0.00 ,Y,9/2/2015 11:20,CMU-1
Day After Thanksgiving Turkey Sandwich,380418,1,null,$6.50 ,$6.50 ,$0.00 ,Y,9/2/2015 11:18,CMU-1
Today's Vegetarian Lunch Entrée,380396,1,null,$7.49 ,$7.49 ,$0.00 ,Y,9/2/2015 11:16,CMU-1
Tuscan Grilled Chicken Sandwich,57625,1,null,$6.50 ,$6.50 ,$0.00 ,Y,9/2/2015 11:09,CMU-1
Grilled Tandoori Chicken Wrap,357108,1,null,$5.75 ,$5.75 ,$0.00 ,Y,9/2/2015 9:42,CMU-1
Salad Niciose,357108,1,null,$6.49 ,$6.49 ,$0.00 ,Y,9/2/2015 9:42,CMU-1
Crudité Cup,377875,1,null,$4.49 ,$4.49 ,$0.00 ,Y,9/1/2015 13:34,CMU-1
"Roasted Pear, Pecan & Cranberry Salad",376657,1,null,$5.99 ,$5.99 ,$0.00 ,Y,9/1/2015 11:58,CMU-1
Breakfast Berry & Yogurt Parfait w/ Granola,376657,1,null,$4.49 ,$4.49 ,$0.00 ,Y,9/1/2015 11:58,CMU-1
Alpino Wrap,372435,1,null,$5.99 ,$5.99 ,$0.00 ,Y,9/1/2015 11:45,CMU-1
Italian Anti-Pasta Salad,203222,1,null,$6.49 ,$6.49 ,$0.00 ,Y,9/1/2015 11:43,CMU-1
Alpino Wrap,376416,1,null,$5.99 ,$5.99 ,$0.00 ,Y,9/1/2015 11:41,CMU-1
Today's Vegetarian Lunch Entrée,119449,1,null,$7.49 ,$7.49 ,$0.00 ,Y,9/1/2015 11:21,CMU-1
Cosmo Entree 1,108748,1,entree,$7.99 ,$7.99 ,$0.00 ,Y,9/1/2015 11:06,CMU-1
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
