Timestamp,Choose what most likely describe your diet habit,Do you have any food allergy ?,How often are you likely to purchase the following meals on campus ? [Breakfast],How often are you likely to purchase the following meals on campus ? [Lunch],How often are you likely to purchase the following meals on campus ? [Dinner],How happy are you with our current Pantry food options (varieties) on campus.,Are you currently happy with the freshness of our food items ? ,How do you currently feel about the amount of food per serving ?,Select the qualities that are most important to you in picking food from our vending machine on campus,Select the kind of food that you have purchased or would likely to purchase in the vending machine in our campus. [Sandwich],Is there any item you would like to see more often in the fridge ?,How much are you willing to pay for lunch ?,Is there any item that you would buy but dont because it's not filing enough ?,Do you have any request for new food options or any suggestions for us ?,"If we have more food options in Pantry, would you buy them ?",Select the kind of food that you have purchased or would likely to purchase in the vending machine in our campus. [Salad],Select the kind of food that you have purchased or would likely to purchase in the vending machine in our campus. [Soup],Select the kind of food that you have purchased or would likely to purchase in the vending machine in our campus. [Rice with meat and vegetables],Select the kind of food that you have purchased or would likely to purchase in the vending machine in our campus. [Noodle],Select the kind of food that you have purchased or would likely to purchase in the vending machine in our campus. [Pasta],Select the kind of food that you have purchased or would likely to purchase in the vending machine in our campus. [Dessert],Username,Select the kind of food that you have purchased or would likely to purchase in our campus' vending machine. [Pasta],Select the kind of food that you have purchased or would likely to purchase in our campus' vending machine. [Dessets],Select the kind of food that you have purchased or would likely to purchase in our campus' vending machine. [Pasta],Select the kind of food that you have purchased or would likely to purchase in our campus' vending machine. [Dessets],Select the kind of food that you have purchased or would likely to purchase in our campus' vending machine. [Row 5],Select the kind of food that you have purchased or would likely to purchase in our campus' vending machine. [Row 5]
11/5/2015 18:08:54,"omnivore (I eat everything, including meat and vegetables)",,Sometimes,,,It is ok as it is,,Too little,Filling,My favorite all the time,,,,,I don't care,My favorite all the time,,,My favorite all the time,,,,,,,,,
11/10/2015 10:04:03,"omnivore (I eat everything, including meat and vegetables), Calories watcher, Nutrition watcher",,Majority of the time,,,It is ok as it is,,Too little,"Affordable, Healthy Options, Great Taste","My favorite only at a specific time (breakfast, lunch or dinner)",,10,,,Yes,,,,My favorite all the time,My favorite all the time,,,,,,,,
11/10/2015 10:04:28,"vegan, vegetarian",,,Sometimes,,It is ok as it is,,Just about right,"Affordable, Healthy Options, Great Taste, Calories",My favorite all the time,,5,,,Yes,My favorite all the time,,,,My favorite all the time,,,,,,,,
11/10/2015 10:04:46,"vegan, vegetarian",,Sometimes,Sometimes,Sometimes,I'm not happy with current service,,Just about right,"Affordable, Healthy Options, Changing Menu, Unique/ Specialty Food, Great Taste, Filling, Calories","My favorite only at a specific time (breakfast, lunch or dinner)",,,,,Yes,,,,"My favorite only at a specific time (breakfast, lunch or dinner)","My favorite only at a specific time (breakfast, lunch or dinner)",My favorite all the time,,,,,,,
11/10/2015 10:05:40,"omnivore (I eat everything, including meat and vegetables)",,Never,Majority of the time,Sometimes,It is ok as it is,,Just about right,"Affordable, Healthy Options, Unique/ Specialty Food, Great Taste","My favorite only at a specific time (breakfast, lunch or dinner)",,7,,,Yes,"My favorite only at a specific time (breakfast, lunch or dinner)",Never,Never,Never,Never,My favorite all the time,,,,,,,
11/10/2015 10:05:45,"vegetarian, omnivore (I eat everything, including meat and vegetables), Calories watcher",,Sometimes,Sometimes,Majority of the time,I'm very happy,,Just about right,"Affordable, Organic Menu, Healthy Options, Changing Menu, Unique/ Specialty Food, Great Taste, Filling, Calories",I have tried (or would like to try) that,,7,,Fruits,Yes,My favorite all the time,I have tried (or would like to try) that,Never,I have tried (or would like to try) that,I have tried (or would like to try) that,I have tried (or would like to try) that,,,,,,,
11/10/2015 10:06:33,vegetarian,,Majority of the time,,,I'm not happy with current service,,Just about right,"Affordable, Great Taste",I have tried (or would like to try) that,,8,,"If there were more of the breakfast item - yougurt, berries and oatmeal, it would be great.  Most of the times it is not available.",Yes,I have tried (or would like to try) that,Never,,I have tried (or would like to try) that,I have tried (or would like to try) that,"My favorite only at a specific time (breakfast, lunch or dinner)",,,,,,,
11/10/2015 10:07:14,"omnivore (I eat everything, including meat and vegetables), Low carb, Calories watcher, Nutrition watcher",,,Sometimes,,I'm not happy with current service,,Just about right,"Healthy Options, Great Taste, Calories",I have tried (or would like to try) that,,9,,,Yes,I have tried (or would like to try) that,Never,I have tried (or would like to try) that,Never,Never,I have tried (or would like to try) that,,,,,,,
11/10/2015 10:09:16,"omnivore (I eat everything, including meat and vegetables)",,Never,Never,Sometimes,I'm not happy with current service,,Just about right,"Affordable, Changing Menu",Never,,6,,"Please reduce the cheese quantity in salad. salad is expensive, $5(within meat) would be reasonable for me.",Yes,I have tried (or would like to try) that,Never,I have tried (or would like to try) that,Never,Never,Never,,,,,,,
11/10/2015 10:09:46,"vegetarian, omnivore (I eat everything, including meat and vegetables)",,,Sometimes,Sometimes,I'm not happy with current service,,,"Affordable, Healthy Options, Changing Menu, Great Taste, Filling",I have tried (or would like to try) that,,,,,Yes,,,I have tried (or would like to try) that,,,,,,,,,,
11/10/2015 10:11:56,"omnivore (I eat everything, including meat and vegetables)",asparagus,Never,Never,Sometimes,I haven't used Pantry at all,,I don't care,"Affordable, Healthy Options, Changing Menu, Unique/ Specialty Food, Great Taste, Filling",Never,,7,,,Yes,My favorite all the time,"My favorite only at a specific time (breakfast, lunch or dinner)",My favorite all the time,My favorite all the time,My favorite all the time,"My favorite only at a specific time (breakfast, lunch or dinner)",,,,,,,
11/10/2015 10:20:49,"omnivore (I eat everything, including meat and vegetables)",no,,Sometimes,,It is ok as it is,,Just about right,"Great Taste, Calories","My favorite only at a specific time (breakfast, lunch or dinner)",,7,,,Yes,"My favorite only at a specific time (breakfast, lunch or dinner)","My favorite only at a specific time (breakfast, lunch or dinner)",I have tried (or would like to try) that,I have tried (or would like to try) that,I have tried (or would like to try) that,I have tried (or would like to try) that,,,,,,,
11/10/2015 10:20:57,vegan,,Sometimes,Majority of the time,Sometimes,I'm not happy with current service,,Too little,Clearly marked vegan options or allergy information with vegetarian marking for all food items,My favorite all the time,,8,,at least one vegan option per day,Yes,I have tried (or would like to try) that,Never,My favorite all the time,I have tried (or would like to try) that,I have tried (or would like to try) that,I have tried (or would like to try) that,,,,,,,
11/10/2015 10:21:20,"omnivore (I eat everything, including meat and vegetables)",,Never,Sometimes,Never,It is ok as it is,,Just about right,"Affordable, Healthy Options, Unique/ Specialty Food",I have tried (or would like to try) that,,8,,,Yes,I have tried (or would like to try) that,"My favorite only at a specific time (breakfast, lunch or dinner)","My favorite only at a specific time (breakfast, lunch or dinner)",I have tried (or would like to try) that,I have tried (or would like to try) that,I have tried (or would like to try) that,,,,,,,
11/10/2015 10:21:30,"vegan, vegetarian, Calories watcher, Nutrition watcher",,Never,Sometimes,Never,It is ok as it is,,Too little,"Affordable, Healthy Options, Great Taste","My favorite only at a specific time (breakfast, lunch or dinner)",,10,,,Yes,"My favorite only at a specific time (breakfast, lunch or dinner)",Never,"My favorite only at a specific time (breakfast, lunch or dinner)","My favorite only at a specific time (breakfast, lunch or dinner)","My favorite only at a specific time (breakfast, lunch or dinner)","My favorite only at a specific time (breakfast, lunch or dinner)",,,,,,,
11/10/2015 10:23:30,carnivore (meat eater),,Sometimes,Sometimes,Sometimes,I'm not happy with current service,,Too little,Great Taste,"My favorite only at a specific time (breakfast, lunch or dinner)",,10,,,Yes,"My favorite only at a specific time (breakfast, lunch or dinner)","My favorite only at a specific time (breakfast, lunch or dinner)",My favorite all the time,My favorite all the time,My favorite all the time,My favorite all the time,,,,,,,
11/10/2015 10:24:43,carnivore (meat eater),,,Sometimes,,I'm not happy with current service,,Too much,"Affordable, Great Taste, Warm food","My favorite only at a specific time (breakfast, lunch or dinner)",,6,,"Warm food, not only sandwiches",Yes,I have tried (or would like to try) that,Never,I have tried (or would like to try) that,I have tried (or would like to try) that,"My favorite only at a specific time (breakfast, lunch or dinner)",I have tried (or would like to try) that,,,,,,,
11/10/2015 10:25:15,"omnivore (I eat everything, including meat and vegetables)",mushrooms,,Sometimes,Sometimes,I'm not happy with current service,,Just about right,"Affordable, Great Taste","My favorite only at a specific time (breakfast, lunch or dinner)",,7,,"The rice dishes / noodel dishes are too small (1 dish is not enough for 1 meal).
The Burritos (roll) tastes the worst.
It would be better if the screen can show the detail (every ingredient) of every food inside the machine (or print them on label), because sometimes it contains ingredients we cannot eat or don't like.
It would be better if there are more varieties.",Yes,Never,Never,My favorite all the time,My favorite all the time,"My favorite only at a specific time (breakfast, lunch or dinner)",I have tried (or would like to try) that,,,,,,,
11/10/2015 10:31:59,"vegan, vegetarian, gluten-free, Calories watcher, Nutrition watcher",No,,Sometimes,,It is ok as it is,,Too little,"Organic Menu, Healthy Options, Great Taste, Filling, Vegetarian",My favorite all the time,,7,,,Yes,,,,,My favorite all the time,,,,,,,,
11/10/2015 10:32:33,"vegan, vegetarian, Low carb, Calories watcher, Nutrition watcher",,Never,Sometimes,Never,I'm not happy with current service,,Just about right,"Affordable, Healthy Options, Great Taste",I have tried (or would like to try) that,,7,,,Yes,Never,Never,Never,Never,Never,Never,,,,,,,
11/10/2015 10:33:39,"omnivore (I eat everything, including meat and vegetables), Nutrition watcher",no,,Sometimes,,I'm not happy with current service,,Too little,Great Taste,I have tried (or would like to try) that,,7,,,Yes,I have tried (or would like to try) that,,I have tried (or would like to try) that,,,,,,,,,,
11/10/2015 10:39:53,carnivore (meat eater),no,Never,Sometimes,Sometimes,I'm not happy with current service,,Too little,"Affordable, Great Taste",I have tried (or would like to try) that,,6,,"Actually i would love to pay more if the the food is tasty. For the quality of wrap or lunch dish we've been given so far, I don't think it worth $7. Try them, taste horrible. Won't use the machine unless i dont have time and i dont have any food with me.",Yes,My favorite all the time,Never,I have tried (or would like to try) that,Never,Never,Never,,,,,,,
11/10/2015 10:40:16,vegan,,Never,Sometimes,Never,I haven't used Pantry at all,,,"Affordable, Organic Menu, Healthy Options, Changing Menu, Great Taste, Filling",My favorite all the time,,7,,"could not get if the food is vegetarian or has meat, by looking at the pack",Yes,My favorite all the time,,,My favorite all the time,My favorite all the time,,,,,,,,
11/10/2015 10:41:42,"Low carb, Calories watcher, Nutrition watcher, Halal/Kosher",,Never,Sometimes,Sometimes,It is ok as it is,,Too little,"Affordable, Organic Menu, Healthy Options, Changing Menu, Unique/ Specialty Food, Great Taste, Availability","My favorite only at a specific time (breakfast, lunch or dinner)",,10,,It would be nice if it is stocked all over the week.,Yes,"My favorite only at a specific time (breakfast, lunch or dinner)",Never,I have tried (or would like to try) that,Never,Never,I have tried (or would like to try) that,,,,,,,
11/10/2015 10:45:42,"omnivore (I eat everything, including meat and vegetables), carnivore (meat eater)",,Never,Sometimes,Sometimes,It is ok as it is,,Too little,"Affordable, Healthy Options, Great Taste, Filling",I have tried (or would like to try) that,,5,,,Yes,Never,Never,I have tried (or would like to try) that,Never,Never,Never,,,,,,,
11/10/2015 10:47:03,"omnivore (I eat everything, including meat and vegetables), Calories watcher",,,Majority of the time,Majority of the time,It is ok as it is,,Just about right,"Affordable, Organic Menu, Healthy Options, Changing Menu, Unique/ Specialty Food, Great Taste, Filling, Calories",I have tried (or would like to try) that,,5,,"Sometimes the sandwiches have too much mayo on them. I like mayo but gobs is not good, had to toss one out one time due to too much. It would be better to have a few packets in the frig. or wrapped with the sandwich so we can add it ourselves. Thanks,",Yes,My favorite all the time,I have tried (or would like to try) that,I have tried (or would like to try) that,Never,Never,"My favorite only at a specific time (breakfast, lunch or dinner)",,,,,,,
11/10/2015 10:48:13,"vegan, carnivore (meat eater), gluten-free, Nutrition watcher",no,Sometimes,Majority of the time,Sometimes,I don't care,,Just about right,"Affordable, Healthy Options, Great Taste, Filling",My favorite all the time,,7,,Shrimp burrito,Yes,My favorite all the time,"My favorite only at a specific time (breakfast, lunch or dinner)",My favorite all the time,I have tried (or would like to try) that,I have tried (or would like to try) that,Never,,,,,,,
11/10/2015 11:01:35,"omnivore (I eat everything, including meat and vegetables)",No,Never,Never,Never,It is ok as it is,,Just about right,"Affordable, Great Taste",I have tried (or would like to try) that,,5,,,Yes,,I have tried (or would like to try) that,,,,I have tried (or would like to try) that,,,,,,,
11/10/2015 11:03:39,"omnivore (I eat everything, including meat and vegetables)",,Majority of the time,Majority of the time,Sometimes,I'm not happy with current service,,Just about right,Great Taste,"My favorite only at a specific time (breakfast, lunch or dinner)",,9,,,Yes,I have tried (or would like to try) that,Never,I have tried (or would like to try) that,I have tried (or would like to try) that,I have tried (or would like to try) that,Never,,,,,,,
11/10/2015 11:07:39,"omnivore (I eat everything, including meat and vegetables)",,Never,Majority of the time,Sometimes,I'm not happy with current service,,Too little,"Affordable, Filling",My favorite all the time,,7,,,Yes,I have tried (or would like to try) that,Never,I have tried (or would like to try) that,I have tried (or would like to try) that,I have tried (or would like to try) that,Never,,,,,,,
11/10/2015 11:17:03,"omnivore (I eat everything, including meat and vegetables)",,Never,Never,Sometimes,It is ok as it is,,I don't care,"Changing Menu, Great Taste",I have tried (or would like to try) that,,6,,,I don't care,I have tried (or would like to try) that,Never,I have tried (or would like to try) that,Never,Never,I have tried (or would like to try) that,,,,,,,
11/10/2015 11:19:00,"omnivore (I eat everything, including meat and vegetables), Nutrition watcher",coriander,Never,Sometimes,Sometimes,It is ok as it is,,Too little,"Affordable, Changing Menu, Great Taste",,,5,,"I have eat a sandwich which is very salty. I am afraid that I will pick the similar one again, so I choose to eat from Pantry when I have to.",Yes,,,,,,,,,,,,,
11/10/2015 11:32:18,"omnivore (I eat everything, including meat and vegetables)",,Never,Never,Never,I haven't used Pantry at all,,I don't care,"Affordable, Organic Menu, Healthy Options, Changing Menu, Unique/ Specialty Food, Great Taste",,,8,,,I don't care,,,,,,,,,,,,,
11/10/2015 11:39:46,"omnivore (I eat everything, including meat and vegetables)",,Never,Sometimes,Never,I haven't used Pantry at all,,Just about right,"Affordable, Great Taste",I have tried (or would like to try) that,,10,,,I don't care,Never,"My favorite only at a specific time (breakfast, lunch or dinner)","My favorite only at a specific time (breakfast, lunch or dinner)",My favorite all the time,My favorite all the time,My favorite all the time,,,,,,,
11/10/2015 11:45:31,"omnivore (I eat everything, including meat and vegetables)",,Majority of the time,Majority of the time,Sometimes,It is ok as it is,,Too little,"Affordable, Healthy Options, Great Taste, Filling",I have tried (or would like to try) that,,9,,,Yes,I have tried (or would like to try) that,I have tried (or would like to try) that,My favorite all the time,"My favorite only at a specific time (breakfast, lunch or dinner)","My favorite only at a specific time (breakfast, lunch or dinner)",I have tried (or would like to try) that,,,,,,,
11/10/2015 11:51:49,vegetarian,,Never,Sometimes,Never,I'm not happy with current service,,Just about right,"Affordable, Unique/ Specialty Food, Great Taste",Never,,7,,"+ Rice and curry
+ Noodles",Yes,Never,I have tried (or would like to try) that,"My favorite only at a specific time (breakfast, lunch or dinner)","My favorite only at a specific time (breakfast, lunch or dinner)","My favorite only at a specific time (breakfast, lunch or dinner)","My favorite only at a specific time (breakfast, lunch or dinner)",,,,,,,
11/10/2015 12:07:25,"omnivore (I eat everything, including meat and vegetables)",,Sometimes,Never,Sometimes,It is ok as it is,,Too little,"Changing Menu, Great Taste","My favorite only at a specific time (breakfast, lunch or dinner)",,10,,,Yes,"My favorite only at a specific time (breakfast, lunch or dinner)",I have tried (or would like to try) that,My favorite all the time,My favorite all the time,Never,My favorite all the time,,,,,,,
11/10/2015 12:16:25,"omnivore (I eat everything, including meat and vegetables)",,Never,Sometimes,Sometimes,I'm not happy with current service,,,"Affordable, Organic Menu, Healthy Options, Great Taste",Never,,,,,Yes,I have tried (or would like to try) that,Never,Never,Never,Never,Never,,,,,,,
11/10/2015 12:28:46,"omnivore (I eat everything, including meat and vegetables)",,Never,Sometimes,Never,I'm not happy with current service,,Too little,"Affordable, Great Taste, Filling",My favorite all the time,,6,,"More sandwiches, less wraps. I haven't seen a Classic BLT in the fridge for months",Yes,Never,Never,Never,Never,Never,Never,,,,,,,
11/10/2015 12:29:55,"omnivore (I eat everything, including meat and vegetables)",,Never,Majority of the time,Sometimes,I'm not happy with current service,,Too little,"Affordable, Healthy Options, Great Taste",I have tried (or would like to try) that,,9,,,Yes,I have tried (or would like to try) that,I have tried (or would like to try) that,My favorite all the time,My favorite all the time,I have tried (or would like to try) that,"My favorite only at a specific time (breakfast, lunch or dinner)",,,,,,,
11/10/2015 12:41:18,vegetarian,,Never,Always,,I'm not happy with current service,,Too little,"Affordable, Healthy Options, Great Taste",My favorite all the time,,7,,"More Indian vegeterian options, as there are many Indians on campus :)",Yes,Never,Never,I have tried (or would like to try) that,Never,Never,Never,,,,,,,
11/10/2015 12:49:43,"omnivore (I eat everything, including meat and vegetables)",no,Never,Never,Never,I haven't used Pantry at all,,Too little,Great Taste,,,8,,,I don't care,,,,,,,,,,,,,
11/10/2015 13:10:45,"omnivore (I eat everything, including meat and vegetables)",,Never,Never,Never,I don't care,,I don't care,"Organic Menu, Healthy Options",Never,,10,,,I don't care,Never,Never,Never,Never,Never,Never,,,,,,,
11/10/2015 13:46:08,"vegetarian, Low carb, Calories watcher",,,Sometimes,,I'm not happy with current service,,Just about right,"Affordable, Healthy Options, Great Taste","My favorite only at a specific time (breakfast, lunch or dinner)",,5,,,Yes,I have tried (or would like to try) that,,"My favorite only at a specific time (breakfast, lunch or dinner)",,"My favorite only at a specific time (breakfast, lunch or dinner)",,,,,,,,
11/10/2015 14:09:56,"gluten-free, Calories watcher, Nutrition watcher",no,,Sometimes,Majority of the time,It is ok as it is,,Too little,"Affordable, Healthy Options, Great Taste",My favorite all the time,,12,,,Yes,"My favorite only at a specific time (breakfast, lunch or dinner)",I have tried (or would like to try) that,My favorite all the time,"My favorite only at a specific time (breakfast, lunch or dinner)","My favorite only at a specific time (breakfast, lunch or dinner)",I have tried (or would like to try) that,,,,,,,
11/10/2015 14:17:17,"vegetarian, gluten-free, Nutrition watcher, Chicken",,Never,Sometimes,Sometimes,I'm not happy with current service,,Too much,"Affordable, Changing Menu, Great Taste, Filling",I have tried (or would like to try) that,,5,,The food could taste better and have a lot more options. The Company could focus more on the taste than the volume of the food.,Yes,"My favorite only at a specific time (breakfast, lunch or dinner)",Never,Never,Never,Never,Never,,,,,,,
11/10/2015 14:39:34,"omnivore (I eat everything, including meat and vegetables)",no,,Sometimes,Sometimes,I'm not happy with current service,,Too little,"Affordable, Great Taste, Filling",I have tried (or would like to try) that,,8,,,Yes,,I have tried (or would like to try) that,"My favorite only at a specific time (breakfast, lunch or dinner)","My favorite only at a specific time (breakfast, lunch or dinner)",,I have tried (or would like to try) that,,,,,,,
11/10/2015 15:22:36,"omnivore (I eat everything, including meat and vegetables)",No allergies.,Sometimes,Sometimes,Sometimes,It is ok as it is,,Just about right,"Affordable, Healthy Options, Unique/ Specialty Food, Great Taste, Filling",I have tried (or would like to try) that,,5,,"I'd love more fruits and yogurt, or any light food/snack options would be good. Sometimes I'd like to eat something but don't really want to commit in a full size meal; and the snakes in the vending machine aren't always healthy.

Or even ice cream, then we will probably need a different kind of fridge.",Yes,"My favorite only at a specific time (breakfast, lunch or dinner)",Never,I have tried (or would like to try) that,Never,I have tried (or would like to try) that,I have tried (or would like to try) that,,,,,,,
11/10/2015 18:48:52,"omnivore (I eat everything, including meat and vegetables), Calories watcher, Nutrition watcher",No,Sometimes,Sometimes,Never,I'm not happy with current service,,Too little,"Affordable, Great Taste",Never,,8,,Some small appetizer for snack choice is good ,Yes,I have tried (or would like to try) that,My favorite all the time,My favorite all the time,My favorite all the time,Never,"My favorite only at a specific time (breakfast, lunch or dinner)",,,,,,,
11/10/2015 18:51:12,vegetarian,,,Sometimes,Sometimes,I haven't used Pantry at all,,,"Affordable, Healthy Options, Great Taste",Never,,,,,Yes,Never,Never,Never,Never,Never,Never,,,,,,,
11/10/2015 20:01:46,"omnivore (I eat everything, including meat and vegetables)",none,Never,Sometimes,Never,I'm not happy with current service,,Just about right,"Affordable, Unique/ Specialty Food, Great Taste","My favorite only at a specific time (breakfast, lunch or dinner)",,7.5,,,Yes,"My favorite only at a specific time (breakfast, lunch or dinner)","My favorite only at a specific time (breakfast, lunch or dinner)","My favorite only at a specific time (breakfast, lunch or dinner)","My favorite only at a specific time (breakfast, lunch or dinner)","My favorite only at a specific time (breakfast, lunch or dinner)",I have tried (or would like to try) that,,,,,,,
11/11/2015 2:48:26,"carnivore (meat eater), Nutrition watcher",,Never,Majority of the time,Never,It is ok as it is,,Just about right,"Healthy Options, Great Taste, Filling",I have tried (or would like to try) that,,6.5,,Less greasy stuff! lesser cheese ,Yes,Never,Never,My favorite all the time,,I have tried (or would like to try) that,Never,,,,,,,
11/11/2015 12:43:02,"vegetarian, Lacto Vegetarian and no onions, garlic, eggs","Onion, Garlic, Eggs",Sometimes,Majority of the time,,I'm not happy with current service,,I don't care,"Organic Menu, Healthy Options",My favorite all the time,,15,,Plain Steamed Rice,Yes,Never,Never,Never,"My favorite only at a specific time (breakfast, lunch or dinner)","My favorite only at a specific time (breakfast, lunch or dinner)",I have tried (or would like to try) that,,,,,,,
11/11/2015 20:18:56,"omnivore (I eat everything, including meat and vegetables), Low carb, Calories watcher, Nutrition watcher",,Never,Majority of the time,Sometimes,I'm not happy with current service,,Just about right,"Healthy Options, Changing Menu, Great Taste",Never,,8,,"Less wraps, less sandwiches - too much bread!  
More soups, salad, fruit, yogurt, veggie sticks. ",Yes,"My favorite only at a specific time (breakfast, lunch or dinner)",I have tried (or would like to try) that,I have tried (or would like to try) that,Never,Never,Never,,,,,,,
11/12/2015 10:36:48,"vegetarian, Nutrition watcher",,Never,Sometimes,Never,It is ok as it is,,Too little,"Affordable, Organic Menu, Healthy Options, Changing Menu, Unique/ Specialty Food, Great Taste, Filling","My favorite only at a specific time (breakfast, lunch or dinner)",,7,,,Yes,"My favorite only at a specific time (breakfast, lunch or dinner)","My favorite only at a specific time (breakfast, lunch or dinner)",Never,I have tried (or would like to try) that,I have tried (or would like to try) that,Never,,,,,,,
11/17/2015 9:51:02,"omnivore (I eat everything, including meat and vegetables)",,Never,Never,Never,I haven't used Pantry at all,,Too little,Changing Menu,I have tried (or would like to try) that,,10,,,Yes,"My favorite only at a specific time (breakfast, lunch or dinner)",,My favorite all the time,"My favorite only at a specific time (breakfast, lunch or dinner)",I have tried (or would like to try) that,I have tried (or would like to try) that,,,,,,,
11/17/2015 10:47:32,"omnivore (I eat everything, including meat and vegetables)",,Never,Majority of the time,Sometimes,It is ok as it is,,,"Organic Menu, Healthy Options, Great Taste","My favorite only at a specific time (breakfast, lunch or dinner)",,6,,,Yes,"My favorite only at a specific time (breakfast, lunch or dinner)",Never,Never,Never,Never,I have tried (or would like to try) that,,,,,,,
11/17/2015 11:13:37,carnivore (meat eater),,Never,Never,Sometimes,I'm not happy with current service,,Too little,Unique/ Specialty Food,I have tried (or would like to try) that,,8,,,Yes,Never,Never,I have tried (or would like to try) that,Never,Never,Never,,,,,,,
11/17/2015 11:20:13,Nutrition watcher,,,Sometimes,,It is ok as it is,,Too little,"Healthy Options, Changing Menu",,,8,,,Yes,,,My favorite all the time,,,,,,,,,,
11/17/2015 11:25:49,"omnivore (I eat everything, including meat and vegetables)",,Never,Sometimes,Never,I'm not happy with current service,,Too little,"Affordable, Healthy Options, Unique/ Specialty Food, Great Taste, Filling",I have tried (or would like to try) that,,6,,,Yes,I have tried (or would like to try) that,Never,Never,Never,Never,Never,,,,,,,
11/17/2015 11:32:58,vegetarian,,Sometimes,Majority of the time,Never,I'm not happy with current service,,Just about right,"Affordable, Great Taste, Filling","My favorite only at a specific time (breakfast, lunch or dinner)",,8,,More options with vegetables for vegetarians,Yes,Never,Never,"My favorite only at a specific time (breakfast, lunch or dinner)",I have tried (or would like to try) that,I have tried (or would like to try) that,"My favorite only at a specific time (breakfast, lunch or dinner)",,,,,,,
11/17/2015 14:24:20,carnivore (meat eater),,Majority of the time,Always,Sometimes,I'm not happy with current service,,Too little,"Unique/ Specialty Food, Great Taste, Calories, greasy, fatty food is awesome",My favorite all the time,,7,,"classic BLT, more meat sandwiches",Yes,Never,Never,Never,Never,Never,Never,,,,,,,
11/17/2015 15:14:35,"carnivore (meat eater), Pastavore",,Never,Majority of the time,Sometimes,I'm not happy with current service,,Too little,"Affordable, Great Taste, Filling",My favorite all the time,,10,,Pasta,Yes,Never,Never,"My favorite only at a specific time (breakfast, lunch or dinner)",Never,My favorite all the time,"My favorite only at a specific time (breakfast, lunch or dinner)",,,,,,,
11/17/2015 17:04:06,"omnivore (I eat everything, including meat and vegetables), Calories watcher, Nutrition watcher",,Always,Majority of the time,Sometimes,I'm not happy with current service,,Just about right,"Affordable, Great Taste, Calories","My favorite only at a specific time (breakfast, lunch or dinner)",,7,,,Yes,I have tried (or would like to try) that,I have tried (or would like to try) that,I have tried (or would like to try) that,I have tried (or would like to try) that,I have tried (or would like to try) that,My favorite all the time,,,,,,,
11/17/2015 18:36:16,vegan,,Sometimes,Majority of the time,Sometimes,I'm not happy with current service,,I don't care,"Affordable, Healthy Options, Changing Menu, Great Taste, Filling",,,8,,Please label food correctly (on the packaging),Yes,,,,,,,,,,,,,
11/17/2015 23:48:57,carnivore (meat eater),,Never,Sometimes,Never,I'm not happy with current service,,Too much,"Affordable, Unique/ Specialty Food, Great Taste, Filling",My favorite all the time,,,,,Yes,My favorite all the time,My favorite all the time,My favorite all the time,My favorite all the time,My favorite all the time,My favorite all the time,,,,,,,
11/18/2015 2:50:47,"vegan, vegetarian",,Never,Sometimes,Majority of the time,I haven't used Pantry at all,,I don't care,"Affordable, Organic Menu, Healthy Options, Changing Menu, Great Taste, Filling, Calories",My favorite all the time,,10,,,No,I have tried (or would like to try) that,"My favorite only at a specific time (breakfast, lunch or dinner)",Never,Never,Never,I have tried (or would like to try) that,,,,,,,
11/19/2015 12:06:48,"vegan, vegetarian",,Majority of the time,Majority of the time,,I'm not happy with current service,,Just about right,"Changing Menu, Great Taste, Filling",Never,,12,,,Yes,Never,I have tried (or would like to try) that,I have tried (or would like to try) that,I have tried (or would like to try) that,My favorite all the time,I have tried (or would like to try) that,,,,,,,